year,month,day,date
canh thìn,quý mùi,ất dậu,26-Jul-00
canh thìn,quý mùi,bính tuất,27-Jul-00
canh thìn,quý mùi,đinh hợi,28-Jul-00
canh thìn,quý mùi,mậu tý,29-Jul-00
canh thìn,quý mùi,kỷ sửu,30-Jul-00
canh thìn,giáp thân,canh dần,31-Jul-00
canh thìn,giáp thân,tân mão,1-Aug-00
canh thìn,giáp thân,nhâm thìn,2-Aug-00
canh thìn,giáp thân,quý tỵ,3-Aug-00
canh thìn,giáp thân,giáp ngọ,4-Aug-00
canh thìn,giáp thân,ất mùi,5-Aug-00
canh thìn,giáp thân,bính thân,6-Aug-00
canh thìn,giáp thân,đinh dậu,7-Aug-00
canh thìn,giáp thân,mậu tuất,8-Aug-00
canh thìn,giáp thân,kỷ hợi,9-Aug-00
canh thìn,giáp thân,canh tý,10-Aug-00
canh thìn,giáp thân,tân sửu,11-Aug-00
canh thìn,giáp thân,nhâm dần,12-Aug-00
canh thìn,giáp thân,quý mão,13-Aug-00
canh thìn,giáp thân,giáp thìn,14-Aug-00
canh thìn,giáp thân,ất tỵ,15-Aug-00
canh thìn,giáp thân,bính ngọ,16-Aug-00
canh thìn,giáp thân,đinh mùi,17-Aug-00
canh thìn,giáp thân,mậu thân,18-Aug-00
canh thìn,giáp thân,kỷ dậu,19-Aug-00
canh thìn,giáp thân,canh tuất,20-Aug-00
canh thìn,giáp thân,tân hợi,21-Aug-00
canh thìn,giáp thân,nhâm tý,22-Aug-00
canh thìn,giáp thân,quý sửu,23-Aug-00
canh thìn,giáp thân,giáp dần,24-Aug-00
canh thìn,giáp thân,ất mão,25-Aug-00
canh thìn,giáp thân,bính thìn,26-Aug-00
canh thìn,giáp thân,đinh tỵ,27-Aug-00
canh thìn,giáp thân,mậu ngọ,28-Aug-00
canh thìn,ất dậu,kỷ mùi,29-Aug-00
canh thìn,ất dậu,canh thân,30-Aug-00
canh thìn,ất dậu,tân dậu,31-Aug-00
canh thìn,ất dậu,nhâm tuất,1-Sep-00
canh thìn,ất dậu,quý hợi,2-Sep-00
canh thìn,ất dậu,giáp tý,3-Sep-00
canh thìn,ất dậu,ất sửu,4-Sep-00
canh thìn,ất dậu,bính dần,5-Sep-00
canh thìn,ất dậu,đinh mão,6-Sep-00
canh thìn,ất dậu,mậu thìn,7-Sep-00
canh thìn,ất dậu,kỷ tỵ,8-Sep-00
canh thìn,ất dậu,canh ngọ,9-Sep-00
canh thìn,ất dậu,tân mùi,10-Sep-00
canh thìn,ất dậu,nhâm thân,11-Sep-00
canh thìn,ất dậu,quý dậu,12-Sep-00
canh thìn,ất dậu,giáp tuất,13-Sep-00
canh thìn,ất dậu,ất hợi,14-Sep-00
canh thìn,ất dậu,bính tý,15-Sep-00
canh thìn,ất dậu,đinh sửu,16-Sep-00
canh thìn,ất dậu,mậu dần,17-Sep-00
canh thìn,ất dậu,kỷ mão,18-Sep-00
canh thìn,ất dậu,canh thìn,19-Sep-00
canh thìn,ất dậu,tân tỵ,20-Sep-00
canh thìn,ất dậu,nhâm ngọ,21-Sep-00
canh thìn,ất dậu,quý mùi,22-Sep-00
canh thìn,ất dậu,giáp thân,23-Sep-00
canh thìn,ất dậu,ất dậu,24-Sep-00
canh thìn,ất dậu,bính tuất,25-Sep-00
canh thìn,ất dậu,đinh hợi,26-Sep-00
canh thìn,ất dậu,mậu tý,27-Sep-00
canh thìn,bính tuất,kỷ sửu,28-Sep-00
canh thìn,bính tuất,canh dần,29-Sep-00
canh thìn,bính tuất,tân mão,30-Sep-00
canh thìn,bính tuất,nhâm thìn,1-Oct-00
canh thìn,bính tuất,quý tỵ,2-Oct-00
canh thìn,bính tuất,giáp ngọ,3-Oct-00
canh thìn,bính tuất,ất mùi,4-Oct-00
canh thìn,bính tuất,bính thân,5-Oct-00
canh thìn,bính tuất,đinh dậu,6-Oct-00
canh thìn,bính tuất,mậu tuất,7-Oct-00
canh thìn,bính tuất,kỷ hợi,8-Oct-00
canh thìn,bính tuất,canh tý,9-Oct-00
canh thìn,bính tuất,tân sửu,10-Oct-00
canh thìn,bính tuất,nhâm dần,11-Oct-00
canh thìn,bính tuất,quý mão,12-Oct-00
canh thìn,bính tuất,giáp thìn,13-Oct-00
canh thìn,bính tuất,ất tỵ,14-Oct-00
canh thìn,bính tuất,bính ngọ,15-Oct-00
canh thìn,bính tuất,đinh mùi,16-Oct-00
canh thìn,bính tuất,mậu thân,17-Oct-00
canh thìn,bính tuất,kỷ dậu,18-Oct-00
canh thìn,bính tuất,canh tuất,19-Oct-00
canh thìn,bính tuất,tân hợi,20-Oct-00
canh thìn,bính tuất,nhâm tý,21-Oct-00
canh thìn,bính tuất,quý sửu,22-Oct-00
canh thìn,bính tuất,giáp dần,23-Oct-00
canh thìn,bính tuất,ất mão,24-Oct-00
canh thìn,bính tuất,bính thìn,25-Oct-00
canh thìn,bính tuất,đinh tỵ,26-Oct-00
